id_movimiento,id_miembro,fecha,minuto,hora,importe,comercio,actividad_completa,actividad
75346,57,2004-04-16,59,11,500,,CAJEROS AUTOMATICOS,CA$H
63542,61,2003-12-30,3,15,65,26,HOTEL VINCCI CIUDAD SALAMAN,HOTELES 4 Y 5 ESTRELLAS,BALNEARIOS,CAMPI,HOTEL
61206,28,2005-09-12,52,16,20,55,0143-CONSUM VERGEL,HIPERMERCADOS (TECNOLOGIA ELECTRONICA),SUPERMERCADO
28197,35,2008-03-31,54,22,600,,CAJEROS AUTOMATICOS,CA$H
59391,54,2007-02-08,29,15,73,04,,HELADERIA,RESTAURANTE
45717,66,2010-03-28,19,15,11,57,,GRAN ALMACEN (A),COMPRA BIENES
37514,53,2011-08-03,16,12,22,PASAJES LIBROS S.L.,LIBRERIAS, PAPELERIAS Y DISCOS,LIBRERIA
51757,77,2007-09-30,8,18,30,ESTACION DE SERVICIO ALCA,GASOLINERAS,COCHE
41035,64,2010-06-24,29,15,5,PARKING EGUISA C/SEVILLA,GARAJES Y APARCAMIENTOS,COCHE
68981,50,2008-09-06,6,0,14,8,HOTEL NIZA,HOTELES,MOTELES,BALNEARIOS,CAMPINGS REST,HOTEL
56110,80,2007-12-23,59,19,132,89,HIPERCOR CAMPO NACIONES-SUPER,HIPERCOR SUPERMERCADOS EL CORTE INGLES,SUPERMERCADO
33313,44,2008-05-13,19,17,38,4,INFORMACION E HISTORIA SL,VENTA A DIST.DE PRODUCTOS AL POR MENOR,COMPRA BIENES
34028,42,2003-01-25,27,9,25,78,,DIRECT MARKETING OUTBOUND TELEMARKETING,DIRECT MARKETING
45090,66,2008-03-14,36,10,329,29,HOTEL RESTAURANT DURAN,HOTELES,MOTELES,BALNEARIOS,CAMPINGS REST,HOTEL
1462,2,2004-01-01,13,16,25,94,FOTOS GOYA 42,FOTOGRAFIA,EQUIPOS CINE,OPTICA,INST.MEDI,IMAGEN
70,1,2003-07-28,15,16,50,41,ESTACONES DE SERVICIO ML,GASOLINERAS,COCHE
36189,48,2007-04-01,7,17,191,49,PALACIO DE LA SERNA,HOTELES,MOTELES,BALNEARIOS,CAMPINGS REST,HOTEL
14287,16,2008-07-17,16,16,34,24,OAM THONG,RESTAURANTES RESTO,RESTAURANTE
22222,25,2006-02-09,0,0,99,7,RESTAURANTE EL LANDO,RESTAURANTES RESTO,RESTAURANTE
55560,80,2006-05-26,47,16,76,01,RESTAURANTE LA MATITA,RESTAURANTES RESTO,RESTAURANTE
54726,80,2003-11-16,17,16,29,75,CIRCULO DE LECTORES,VENTAS A DOMICILIO,COMPRA BIENES
54454,78,2010-03-16,40,0,51,45,LIBRERIA FUENTETAJA,VENTA DIST.LIBROS,DISCOS,VIDEOS ,CD'S,LIBRERIA
17054,20,2005-10-28,25,15,40,JOVIPE LAS ROZAS,C.A.M.P.S.A.,COCHE
20617,26,2004-04-15,16,14,0,69,ACCESOS DE MADRID,AUTOPISTAS (TERMINALES),COCHE
41854,65,2004-09-22,18,16,40,7,NISA (H 24) GESA ALBERTO AGUIL,GASOLINERAS,COCHE
42004,65,2005-03-01,28,15,44,7,EST SERV SHELL,GASOLINERAS,COCHE
75666,79,2011-01-04,11,15,79,BARBOUR,CONFECCION TEXTIL EN GENERAL,ROPA
47782,68,2005-10-13,16,19,44,13,FMCIA. M.A. LOPEZ SANCHEZ,FARMACIAS,SALUD
6207,4,2011-11-05,54,14,144,82,RESTAURANTE EL CACIQUITO,RESTAURANTES RESTO,RESTAURANTE
24056,30,2005-07-04,32,14,500,SANCH TELECOM, S.L.,VENTA DE EQUIPOS TELEFONICOS,TELECOM
13129,15,2008-06-14,35,13,29,89,E.S.VEGONES DER,C.A.M.P.S.A.,COCHE
